STRASSE,STRANAM,HSZ
2944,Mainburger Str.,7
765,Chopinstr.,6
3405,Orthstr.,30
1236,Floßmannstr.,8
1355,Fritz-Reuter-Str.,13
3412,Oselstr.,26
3537,Peter-Vischer-Str.,15
2382,Kaspar-Kerll-Str.,20
2508,Köglspergerweg,4
4262,Schubaurstr.,6
3488,Paul-Gerhardt-Allee,27c
4929,Von-Frays-Str.,2b
4929,Von-Frays-Str.,26
1573,Goßwinstr.,12
1573,Goßwinstr.,5b
2063,Hofheimerstr.,13
2063,Hofheimerstr.,4
3713,Radeckestr.,20
3092,Mendelssohnstr.,18a
3668,Presselweg,3
1927,Hermann-Köhl-Str.,9
3092,Mendelssohnstr.,5
3325,Nusselstr.,46
1282,Franz-Stenzer-Str.,6
3298,Nimmerfallstr.,58
3298,Nimmerfallstr.,11
3713,Radeckestr.,3
1927,Hermann-Köhl-Str.,22
3092,Mendelssohnstr.,2
220,Am Stadtpark,51
5175,Willibaldstr.,146
5175,Willibaldstr.,151
5175,Willibaldstr.,154
5175,Willibaldstr.,159
2995,Marienburger Str.,57a
2995,Marienburger Str.,57b
2995,Marienburger Str.,59
2995,Marienburger Str.,59a
355,Autharipl.,3
355,Autharipl.,5
355,Autharipl.,8
343,Augustenstr.,3
356,Autharistr.,25
356,Autharistr.,28
356,Autharistr.,30
356,Autharistr.,32
356,Autharistr.,35
356,Autharistr.,40
356,Autharistr.,43
356,Autharistr.,48
356,Autharistr.,51
356,Autharistr.,52
2222,Isoldenstr.,62
357,Auwaldgasse,5
2222,Isoldenstr.,68
2222,Isoldenstr.,70
2222,Isoldenstr.,72
2222,Isoldenstr.,74
358,Auwiesenweg,1a
376,Baderseestr.,17
376,Baderseestr.,19
372,Bad Brunnthal,2
358,Auwiesenweg,24
358,Auwiesenweg,24a
358,Auwiesenweg,28
360,Avenariusstr.,12
360,Avenariusstr.,15
360,Avenariusstr.,18
5187,Windeckstr.,26
5187,Windeckstr.,31
5187,Windeckstr.,31a
5187,Windeckstr.,36
5187,Windeckstr.,39
5165,Wilhelm-Mayr-Str.,4
3259,Neubiberger Str.,40
361,Aventinstr.,1
361,Aventinstr.,5
5190,Windhuker Str.,3a
5187,Windeckstr.,63
4166,Schleißheimer Str.,450a
5187,Windeckstr.,71a
5187,Windeckstr.,71b
5187,Windeckstr.,72a
5187,Windeckstr.,74
362,Ayinger Str.,11
377,Badgasteiner Str.,12
5089,Wensauerpl.,4
378,Bad-Ischler-Str.,1
378,Bad-Ischler-Str.,2
378,Bad-Ischler-Str.,3
378,Bad-Ischler-Str.,4b
378,Bad-Ischler-Str.,7
378,Bad-Ischler-Str.,10
378,Bad-Ischler-Str.,13
378,Bad-Ischler-Str.,17
555,Beuthener Str.,35
555,Beuthener Str.,39
556,Bezoldstr.,2
556,Bezoldstr.,2a
556,Bezoldstr.,4
556,Bezoldstr.,5
556,Bezoldstr.,9
5770,Biburger Str.,1a
5770,Biburger Str.,9
5770,Biburger Str.,16
5770,Biburger Str.,22
557,Bichler Str.,7
557,Bichler Str.,10
557,Bichler Str.,12
557,Bichler Str.,13
557,Bichler Str.,16
557,Bichler Str.,19
557,Bichler Str.,31
557,Bichler Str.,44
557,Bichler Str.,48
557,Bichler Str.,49
1992,Hinterbärenbadstr.,64
2616,Krüner Str.,67
69,Albert-Roßhaupter-Str.,52
2526,Kössener Str.,21a
3383,Ohlstadter Str.,7
4778,Treffauerstr.,28
5051,Weilheimer Str.,11
2292,Juifenstr.,14
4778,Treffauerstr.,25
1712,Habacher Str.,65
2254,Johann-Clanze-Str.,54
2602,Kriegersiedlung,15
2602,Kriegersiedlung,47
3479,Passauerstr.,12
2485,Klingerstr.,4
2485,Klingerstr.,9
5308,Zirler Str.,10
2193,Innerkoflerstr.,6
4270,Schüsselkarstr.,18
4332,Seefelder Str.,12
1002,Eichendorffpl.,16
232,Andechser Str.,4
3002,Markomannenstr.,6
1376,Fürstenrieder Str.,317
772,Cimbernstr.,85
1013,Einhornallee,54
772,Cimbernstr.,11a
772,Cimbernstr.,31a
2259,Johann-Houis-Str.,4
2259,Johann-Houis-Str.,28
2104,Holzhausener Str.,14
4237,Schondorfer Str.,32
4636,Südparkallee,10
666,Breitbrunner Str.,16
3427,Osterseenstr.,9
3590,Pilsenseestr.,26
54,Aichacher Str.,15
2906,Lützowstr.,11
2906,Lützowstr.,29
3809,Rembrandtstr.,20
3010,Marschnerstr.,26
103,Alte Allee,2
3405,Orthstr.,1
765,Chopinstr.,16
1147,Falkweg,42
2646,Kunzweg,3
2646,Kunzweg,17
3193,Mühlerweg,18
1147,Falkweg,39a
2382,Kaspar-Kerll-Str.,26
2382,Kaspar-Kerll-Str.,36b
2382,Kaspar-Kerll-Str.,40a
4377,Sibeliusstr.,6
1885,Heinrich-Schütz-Weg,15
1885,Heinrich-Schütz-Weg,25
1885,Heinrich-Schütz-Weg,47
3193,Mühlerweg,4a
3193,Mühlerweg,3a
3193,Mühlerweg,7
800,Dachstr.,30
542,Berrschestr.,3
3563,Pfeivestlstr.,54
2284,Joseph-Haas-Weg,10
2284,Joseph-Haas-Weg,20
981,Egenhoferstr.,11
2123,Hotterstr.,12
2981,Maria-Eich-Str.,87
3666,Prentelweg,10
5138,Wiesengrund,15
2284,Joseph-Haas-Weg,11b
2981,Maria-Eich-Str.,96
220,Am Stadtpark,63
1518,Gleichmannstr.,1
1089,Ernsbergerstr.,6a
2969,Manzingerweg,7
1089,Ernsbergerstr.,27
612,Bodenseestr.,15
2198,Institutstr.,21
3605,Planegger Str.,12b
2690,Landsberger Str.,511
613,Bodenstedtstr.,28
5419,Gabriele-Münter-Str.,21
355,Autharipl.,13
356,Autharistr.,4
356,Autharistr.,18
370,Bachstelzenweg,22
370,Bachstelzenweg,25a
370,Bachstelzenweg,32a
371,Bad-Berneck-Str.,1
371,Bad-Berneck-Str.,10
371,Bad-Berneck-Str.,12
373,Bad-Dürkheimer-Str.,1
373,Bad-Dürkheimer-Str.,2
2222,Isoldenstr.,58
373,Bad-Dürkheimer-Str.,22
373,Bad-Dürkheimer-Str.,24a
373,Bad-Dürkheimer-Str.,28
373,Bad-Dürkheimer-Str.,34
374,Badenburgstr.,5
374,Badenburgstr.,8
376,Baderseestr.,6
376,Baderseestr.,12
376,Baderseestr.,13
5187,Windeckstr.,1b
5187,Windeckstr.,2
5187,Windeckstr.,8a
5187,Windeckstr.,9a
5187,Windeckstr.,13
5187,Windeckstr.,17
5187,Windeckstr.,22
5187,Windeckstr.,25
388,Bäckerstr.,59
388,Bäckerstr.,59a
388,Bäckerstr.,61
5187,Windeckstr.,46
5187,Windeckstr.,49
5187,Windeckstr.,54
5187,Windeckstr.,59a
379,Bad-Kissingen-Str.,14
389,Bärenwaldstr.,8
389,Bärenwaldstr.,12
389,Bärenwaldstr.,15a
389,Bärenwaldstr.,17b
390,Bärmannstr.,6
390,Bärmannstr.,8a
5187,Windeckstr.,76
5187,Windeckstr.,79
5187,Windeckstr.,82
377,Badgasteiner Str.,5
390,Bärmannstr.,26
390,Bärmannstr.,29a
390,Bärmannstr.,36
390,Bärmannstr.,40a
390,Bärmannstr.,44a
390,Bärmannstr.,46
392,Bäumlstr.,1
5175,Willibaldstr.,28
5194,Winkstr.,5
5194,Winkstr.,6
5195,Winlandstr.,4
5195,Winlandstr.,5
5195,Winlandstr.,10
5195,Winlandstr.,14
5195,Winlandstr.,18
5195,Winlandstr.,23
5195,Winlandstr.,26
5195,Winlandstr.,28
1892,Heiterwanger Str.,58
1892,Heiterwanger Str.,70
1992,Hinterbärenbadstr.,74
1775,Hansastr.,135
1775,Hansastr.,143
3406,Ortlerstr.,10a
1892,Heiterwanger Str.,23
1992,Hinterbärenbadstr.,18
1992,Hinterbärenbadstr.,44
377,Badgasteiner Str.,8
1992,Hinterbärenbadstr.,47
3756,Rattenberger Str.,32
5303,Zillertalstr.,38
610,Bodenehrstr.,6
2526,Kössener Str.,2
3375,Oetztaler Str.,17
3137,Mittenwalder Str.,36
4973,Waldfriedhofstr.,16
4973,Waldfriedhofstr.,68
2043,Höllentalstr.,5
4973,Waldfriedhofstr.,5
2401,Kederbacherstr.,16
4973,Waldfriedhofstr.,83
1376,Fürstenrieder Str.,255
5032,Waxensteinstr.,12
2401,Kederbacherstr.,23
646,Brachvogelstr.,9
612,Bodenseestr.,194
3470,Partenkirchner Str.,16
772,Cimbernstr.,34
5032,Waxensteinstr.,31
772,Cimbernstr.,72a
3429,Ostmarkstr.,22
2193,Innerkoflerstr.,32
779,Clemens-Bolz-Weg,17
1714,Haberlandstr.,39
1977,Hieronymusstr.,30
4920,Volmstr.,42
1977,Hieronymusstr.,3
1013,Einhornallee,8
4862,Uttinger Str.,7
54,Aichacher Str.,26
3590,Pilsenseestr.,16
666,Breitbrunner Str.,5
3431,Otilostr.,8a
3453,Paosostr.,38
2741,Leharstr.,36
3263,Neufeldstr.,53
2319,Kalmanstr.,3
3178,Morenastr.,10
2037,Höglwörther Str.,216
3214,Murnauer Str.,120a
2037,Höglwörther Str.,260
3184,Morungenstr.,4
5614,Scapinellistr.,26
4775,Trautnerstr.,18
2741,Leharstr.,4
2741,Leharstr.,8b
2741,Leharstr.,33a
3490,Paul-Hösch-Str.,9
369,Bachmairstr.,11
1885,Heinrich-Schütz-Weg,36
3526,Peslmüllerstr.,13
5055,Weingartnerstr.,57
2301,Kabastastr.,29
2804,Lichtingerstr.,8
4513,Stapferstr.,12
4433,Sohnckestr.,17
2202,Irmgardstr.,44
5227,Wolfratshauser Str.,179c
2281,Josef-Schwarz-Weg,3b
2281,Josef-Schwarz-Weg,23
412,Balticusstr.,1
5161,Wilhelm-Hey-Str.,24
800,Dachstr.,4
800,Dachstr.,25
1416,Gasparistr.,11
2281,Josef-Schwarz-Weg,34
543,Bertelestr.,79
1585,Goyastr.,3
5121,Whistlerweg,27b
3083,Melchiorstr.,35
4982,Waldmüllerstr.,1a
220,Am Stadtpark,41
2900,Ludwig-Werder-Weg,10
3413,Oskar-Coester-Weg,8
1224,Fleischmannstr.,1
4592,Strähuberstr.,16
3992,Rungestr.,5
5093,Werlingstr.,5
5014,Warnberg,1
2058,Hofbrunnstr.,113
5082,Weltistr.,12
5418,Kandinskystr.,6
5420,Paul-Klee-Str.,30
5420,Paul-Klee-Str.,48
5082,Weltistr.,46
5421,Stockmannstr.,11
5421,Stockmannstr.,19
5422,Gulbranssonstr.,10
1945,Herterichstr.,134
5423,Wilhelm-Busch-Str.,42
4041,Sambergerstr.,22
5082,Weltistr.,52
880,Döbereinerstr.,6
373,Bad-Dürkheimer-Str.,9
373,Bad-Dürkheimer-Str.,18
387,Bäckerbauerstr.,6
387,Bäckerbauerstr.,8
388,Bäckerstr.,2
388,Bäckerstr.,8
388,Bäckerstr.,13
388,Bäckerstr.,16
388,Bäckerstr.,21
388,Bäckerstr.,22
388,Bäckerstr.,29
388,Bäckerstr.,33b
388,Bäckerstr.,34
388,Bäckerstr.,34b
388,Bäckerstr.,34e
388,Bäckerstr.,36
388,Bäckerstr.,45a
388,Bäckerstr.,50
388,Bäckerstr.,54a
388,Bäckerstr.,56
388,Bäckerstr.,57a
388,Bäckerstr.,58
388,Bäckerstr.,61b
388,Bäckerstr.,61c
3366,Öcklweg,2
388,Bäckerstr.,67
388,Bäckerstr.,71
388,Bäckerstr.,79
388,Bäckerstr.,85
400,Balanstr.,138
400,Balanstr.,148
400,Balanstr.,155
390,Bärmannstr.,11
390,Bärmannstr.,14
390,Bärmannstr.,20
390,Bärmannstr.,22
390,Bärmannstr.,25
400,Balanstr.,178a
2654,Kurt-Floericke-Str.,16
400,Balanstr.,180
400,Balanstr.,195
2028,Hochstr.,49
392,Bäumlstr.,1b
392,Bäumlstr.,5
392,Bäumlstr.,17
3366,Öcklweg,17
400,Balanstr.,227
400,Balanstr.,229
400,Balanstr.,230
2654,Kurt-Floericke-Str.,19
400,Balanstr.,237
400,Balanstr.,240
400,Balanstr.,247
400,Balanstr.,304
400,Balanstr.,310
400,Balanstr.,318
400,Balanstr.,320
2654,Kurt-Floericke-Str.,23
400,Balanstr.,339
400,Balanstr.,344
400,Balanstr.,347
400,Balanstr.,351a
400,Balanstr.,354
1112,Esterbergstr.,36
1150,Farchanter Str.,60
1150,Farchanter Str.,8
1712,Habacher Str.,34
3958,Rottenbucher Str.,31
3860,Rießerseestr.,5
3860,Rießerseestr.,25
4511,Staltacher Str.,6
4511,Staltacher Str.,34
5103,Wessobrunner Str.,14
1150,Farchanter Str.,25
1790,Hans-Thonauer-Str.,4
1766,Hammersbacher Str.,17
2834,Linderhofstr.,21
4238,Schongauerstr.,26
3137,Mittenwalder Str.,20
4973,Waldfriedhofstr.,40
3958,Rottenbucher Str.,10
1115,Ettalstr.,1
2524,Königswieser Str.,5
2296,Junkerstr.,7
2048,Hönlestr.,36
5726,Überlinger Weg,7
612,Bodenseestr.,133
2845,Lisbergstr.,14
4911,Voglerstr.,13
3453,Paosostr.,101
5536,Reichenaustr.,25
5536,Reichenaustr.,37
612,Bodenseestr.,124
853,Dickensstr.,17
714,Buchhierlstr.,1
714,Buchhierlstr.,5
4920,Volmstr.,11
5614,Scapinellistr.,13
612,Bodenseestr.,81
3431,Otilostr.,25
3453,Paosostr.,14
3490,Paul-Hösch-Str.,28
3263,Neufeldstr.,25
3862,Rietschelstr.,11
4274,Schultheißstr.,9b
4274,Schultheißstr.,21
1945,Herterichstr.,137
3263,Neufeldstr.,71
3502,Pembaurstr.,13a
3502,Pembaurstr.,10
3502,Pembaurstr.,18
1714,Haberlandstr.,51
3614,Plattlinger Str.,105
591,Bleibtreustr.,19b
591,Bleibtreustr.,25
1945,Herterichstr.,65
3362,Ockertweg,4
1945,Herterichstr.,55
2646,Kunzweg,16
3453,Paosostr.,51a
5227,Wolfratshauser Str.,238
2323,Kaltenmoserstr.,5
3834,Richard-Pietzsch-Weg,25
543,Bertelestr.,14
3083,Melchiorstr.,44
4607,Stridbeckstr.,32
3083,Melchiorstr.,69
3089,Memlingstr.,20
5164,Wilhelm-Leibl-Str.,37
4441,Sollner Str.,79
3872,Ringelnatzweg,2
5227,Wolfratshauser Str.,199
543,Bertelestr.,43
543,Bertelestr.,47
4553,Stelznerstr.,9
3392,Oneginstr.,17
5214,Wöhlerstr.,50b
637,Bosettistr.,18
4722,Thuillestr.,51
1315,Freseniusstr.,49a
4982,Waldmüllerstr.,3a
3083,Melchiorstr.,33a
2586,Krennerweg,24
3083,Melchiorstr.,13
4204,Schnablstr.,10
4160,Schlehbuschstr.,22
4978,Waldhornstr.,15
3098,Menzinger Str.,104
1847,Heerstr.,9
4565,Sterrhubenweg,8
1315,Freseniusstr.,33a
5082,Weltistr.,30
3767,Rebhuhnweg,9
1153,Fasanenstr.,30
4639,Suessenguthstr.,2
4821,Überreiterstr.,4a
3574,Pflegerstr.,35
4639,Suessenguthstr.,28
2466,Klarweinstr.,8a
880,Döbereinerstr.,14
880,Döbereinerstr.,11b
1315,Freseniusstr.,3
3574,Pflegerstr.,20
3574,Pflegerstr.,26
2451,Kirschäckerweg,11
4522,Steffanistr.,14
1398,Gailkircherstr.,1a
3098,Menzinger Str.,98
3326,Nußhäherstr.,5
4978,Waldhornstr.,3
1286,Franz-Wüllner-Str.,2
1286,Franz-Wüllner-Str.,12
5044,Weidmannstr.,42a
388,Bäckerstr.,31
388,Bäckerstr.,32
5925,Martin-Kollar-Str.,10
4931,Von-Gravenreuth-Str.,24a
4931,Von-Gravenreuth-Str.,24c
400,Balanstr.,52
400,Balanstr.,62
400,Balanstr.,78
400,Balanstr.,81
400,Balanstr.,82a
400,Balanstr.,83
400,Balanstr.,89d
400,Balanstr.,89f
400,Balanstr.,91b
400,Balanstr.,91d
400,Balanstr.,94
400,Balanstr.,96
400,Balanstr.,97
400,Balanstr.,99
400,Balanstr.,110
400,Balanstr.,128
400,Balanstr.,161
400,Balanstr.,164
400,Balanstr.,168
400,Balanstr.,172
400,Balanstr.,173
400,Balanstr.,175
400,Balanstr.,178
5207,Winzererstr.,156
5999,Elisabeth-Jost-Str.,22
5207,Winzererstr.,144
400,Balanstr.,201
400,Balanstr.,205
400,Balanstr.,208
2874,Longinusstr.,22
415,Bandelstr.,3
415,Bandelstr.,5
415,Bandelstr.,9
415,Bandelstr.,12
415,Bandelstr.,14
415,Bandelstr.,20
400,Balanstr.,290
400,Balanstr.,292
400,Balanstr.,294
400,Balanstr.,300
417,Bannwaldseestr.,19
417,Bannwaldseestr.,21
417,Bannwaldseestr.,24
417,Bannwaldseestr.,32
417,Bannwaldseestr.,35
417,Bannwaldseestr.,41
417,Bannwaldseestr.,50
417,Bannwaldseestr.,64a
5208,Wirtstr.,1
5208,Wirtstr.,1b
5208,Wirtstr.,2a
5208,Wirtstr.,9
5208,Wirtstr.,11
5208,Wirtstr.,14
5208,Wirtstr.,21
1448,Genovevaweg,17
1579,Gotthardstr.,160
3140,Mitterfeldstr.,16
3140,Mitterfeldstr.,24
1579,Gotthardstr.,133
1801,Hartelstr.,22
2215,Isbertstr.,6
745,Camerloherstr.,138
745,Camerloherstr.,203
4642,Sulzbeckstr.,18
5175,Willibaldstr.,109
4642,Sulzbeckstr.,41
2048,Hönlestr.,11
3768,Rechpacherstr.,46
1081,Eringerstr.,18
2296,Junkerstr.,14
2296,Junkerstr.,49
2296,Junkerstr.,81
631,Borinskistr.,5
645,Brachvogelpl.,2
1560,Goldbergstr.,4
4441,Sollner Str.,47
855,Diefenbachstr.,15
709,Buchauerstr.,4a
3535,Petersenstr.,14
2738,Leebstr.,6
2851,Littmannstr.,30
4432,Sörgelstr.,3b
4330,Seebergerstr.,6a
1945,Herterichstr.,74
3386,Oldenbourgstr.,6
2181,Im Wismat,38
2181,Im Wismat,40
2851,Littmannstr.,1
2851,Littmannstr.,19
2851,Littmannstr.,29
868,Diezweg,34
4906,Vogelanger,15
1267,Frans-Hals-Str.,6
5740,Fellererpl.,2
3782,Rehkemperstr.,1
5457,Feinhalsstr.,9
618,Böhlaustr.,16
4722,Thuillestr.,57a
1231,Flötnerweg,8
4607,Stridbeckstr.,5
2548,Konrad-Witz-Str.,1
1945,Herterichstr.,17
5028,Watteaustr.,9
1847,Heerstr.,44
3604,Pläntschweg,9a
4686,Thaddäus-Eck-Str.,22
1847,Heerstr.,24
3550,Pfättendorferstr.,16
553,Betzenweg,36
1886,Heinrich-Vogl-Str.,3
3752,Rathochstr.,4
1076,Erdmannsdörferstr.,13
553,Betzenweg,39
5297,Ziegelhofstr.,4
3409,Ortolfstr.,21
4686,Thaddäus-Eck-Str.,3
1076,Erdmannsdörferstr.,1
4881,Verdistr.,50
3752,Rathochstr.,15
3752,Rathochstr.,51
1315,Freseniusstr.,109
1315,Freseniusstr.,78
4583,Stöcklstr.,2
3098,Menzinger Str.,124a
3098,Menzinger Str.,126a
3098,Menzinger Str.,144
1095,Ernst-von-Beling-Str.,13
3863,Riezlerweg,22
4305,Schweidnitzer Str.,35a
4305,Schweidnitzer Str.,49a
4701,Theodor-Lipps-Str.,7a
1153,Fasanenstr.,5
3777,Reginbaldstr.,6
2466,Klarweinstr.,20
5024,Wastelbauerstr.,4
5309,Zittauer Str.,40
5309,Zittauer Str.,25
2858,Löherweg,35
1319,Freybergweg,13
2970,Manzostr.,72
2970,Manzostr.,76a
2269,Josef-Führer-Str.,36
880,Döbereinerstr.,5a
2125,Hubert-Beckers-Str.,33
2125,Hubert-Beckers-Str.,65
84,Allacher Str.,257
2574,Krautheimstr.,18
2574,Krautheimstr.,18a
4379,Sickenbergerstr.,6
5268,Zaunerstr.,19
84,Allacher Str.,181b
84,Allacher Str.,187
4978,Waldhornstr.,59
876,Dirrstr.,7
1753,Haldenbergerstr.,40
5044,Weidmannstr.,53
1096,Ernst-von-Romberg-Str.,16
1753,Haldenbergerstr.,48
2113,Hormayrstr.,22
3507,Penzoltstr.,5a
3507,Penzoltstr.,7b
1208,Finsterwalderstr.,18
3661,Prantlstr.,7
4510,Stahlstr.,34
400,Balanstr.,84
400,Balanstr.,88
5207,Winzererstr.,73
410,Balsaminenstr.,21
410,Balsaminenstr.,22
410,Balsaminenstr.,23
5207,Winzererstr.,77
5207,Winzererstr.,86
5207,Winzererstr.,91
5207,Winzererstr.,92
5207,Winzererstr.,96
411,Baltenstr.,5
411,Baltenstr.,7
5207,Winzererstr.,106
5207,Winzererstr.,124
5207,Winzererstr.,126a
1409,Ganzenmüllerstr.,34b
5207,Winzererstr.,130
5207,Winzererstr.,132a
5207,Winzererstr.,136
432,Barschweg,8
432,Barschweg,13
5207,Winzererstr.,170
5207,Winzererstr.,176
5207,Winzererstr.,182
414,Banatstr.,4
414,Banatstr.,8
414,Banatstr.,13
435,Barystr.,2a
435,Barystr.,3
435,Barystr.,8
435,Barystr.,14
5209,Wirtsbreite,7
5209,Wirtsbreite,9
417,Bannwaldseestr.,1
417,Bannwaldseestr.,8
417,Bannwaldseestr.,10
437,Basler Str.,25
437,Basler Str.,28
437,Basler Str.,30
437,Basler Str.,33
437,Basler Str.,36
437,Basler Str.,37
417,Bannwaldseestr.,52
417,Bannwaldseestr.,55
417,Bannwaldseestr.,64
437,Basler Str.,53
437,Basler Str.,64
437,Basler Str.,70
1432,Geiselgasteigstr.,50
1432,Geiselgasteigstr.,50a
690,Bruderhofstr.,46
690,Bruderhofstr.,48
3196,Müllritterstr.,4
5212,Wittelsbacherstr.,14
5212,Wittelsbacherstr.,17
5212,Wittelsbacherstr.,20
5213,Witzlebenstr.,10a
5213,Witzlebenstr.,14
5214,Wöhlerstr.,3
5214,Wöhlerstr.,8
5214,Wöhlerstr.,15
5214,Wöhlerstr.,20
2058,Hofbrunnstr.,61a
2058,Hofbrunnstr.,63
4824,Uhdestr.,5
4824,Uhdestr.,18
3985,Rugendasstr.,10
4140,Schieggstr.,12
1049,Emil-Dittler-Str.,17
855,Diefenbachstr.,12
2873,Lommelstr.,14
307,Ascholdinger Str.,9a
1325,Friedastr.,6a
5227,Wolfratshauser Str.,212
2058,Hofbrunnstr.,45b
2058,Hofbrunnstr.,29
670,Breitschwertstr.,4
855,Diefenbachstr.,24
1752,Halbreiterstr.,2
648,Bräutigamstr.,3
87,Allescherstr.,9
87,Allescherstr.,6
3752,Rathochstr.,94
3752,Rathochstr.,95a
346,August-Föppl-Str.,23
346,August-Föppl-Str.,35
5182,Wimbachtalstr.,5
5182,Wimbachtalstr.,11
5182,Wimbachtalstr.,14
5182,Wimbachtalstr.,17
5182,Wimbachtalstr.,20a
5182,Wimbachtalstr.,29
363,Azaleenstr.,3
363,Azaleenstr.,7
363,Azaleenstr.,19
5184,Wimpfener Str.,12
5184,Wimpfener Str.,14
5184,Wimpfener Str.,20
5184,Wimpfener Str.,24
4062,St.-Jakobs-Pl.,10
365,Baaderstr.,3
365,Baaderstr.,6
365,Baaderstr.,7
365,Baaderstr.,10
3201,Müllerstr.,4
5190,Windhuker Str.,46
365,Baaderstr.,28
365,Baaderstr.,31
365,Baaderstr.,34
365,Baaderstr.,36
365,Baaderstr.,41
365,Baaderstr.,45
379,Bad-Kissingen-Str.,40
379,Bad-Kissingen-Str.,43
379,Bad-Kissingen-Str.,49
379,Bad-Kissingen-Str.,53
365,Baaderstr.,66
365,Baaderstr.,72
2189,Infanteriestr.,7a
379,Bad-Kissingen-Str.,77
379,Bad-Kissingen-Str.,79
379,Bad-Kissingen-Str.,85
379,Bad-Kissingen-Str.,87
379,Bad-Kissingen-Str.,90
379,Bad-Kissingen-Str.,93
3824,Reutterstr.,82
3824,Reutterstr.,76a
3824,Reutterstr.,78b
765,Chopinstr.,32
383,Bad-Schachener-Str.,2a
383,Bad-Schachener-Str.,5
383,Bad-Schachener-Str.,8
383,Bad-Schachener-Str.,11
383,Bad-Schachener-Str.,16
383,Bad-Schachener-Str.,19
399,Bajuwarenstr.,20
383,Bad-Schachener-Str.,38a
1409,Ganzenmüllerstr.,34a
399,Bajuwarenstr.,132
399,Bajuwarenstr.,134
399,Bajuwarenstr.,139
399,Bajuwarenstr.,146
1218,Flantinstr.,7
2544,Konrad-Dreher-Str.,36
96,Alpenveilchenstr.,42
96,Alpenveilchenstr.,44
6200,Josef-Brückl-Str.,88
6200,Josef-Brückl-Str.,92
6200,Josef-Brückl-Str.,94
6200,Josef-Brückl-Str.,76
406,Ballaufstr.,44
4656,Tangastr.,28a
407,Ballerstedtstr.,3
407,Ballerstedtstr.,7
408,Ballesweg,6
409,Balmungstr.,3
409,Balmungstr.,9
5207,Winzererstr.,27
5207,Winzererstr.,28
5207,Winzererstr.,33
5207,Winzererstr.,40
5207,Winzererstr.,41
5207,Winzererstr.,43
5207,Winzererstr.,44
410,Balsaminenstr.,8
410,Balsaminenstr.,11
410,Balsaminenstr.,13
410,Balsaminenstr.,19
5207,Winzererstr.,52
5207,Winzererstr.,55
5207,Winzererstr.,61
5207,Winzererstr.,67
5207,Winzererstr.,68
427,Barlachstr.,28
427,Barlachstr.,32
427,Barlachstr.,34
295,Arnweg,4
295,Arnweg,7
295,Arnweg,10
295,Arnweg,12
295,Arnweg,15
295,Arnweg,18
295,Arnweg,21
295,Arnweg,22
296,Aronstabstr.,2a
296,Aronstabstr.,8a
5277,Zehntfeldstr.,223b
312,Asmarstr.,3
6119,Arthur-Honegger-Weg,22
6119,Arthur-Honegger-Weg,26
297,Artilleriestr.,1
297,Artilleriestr.,3
297,Artilleriestr.,5
315,Astallerstr.,4
315,Astallerstr.,5
315,Astallerstr.,7
315,Astallerstr.,10
315,Astallerstr.,13
689,Brucknerstr.,7
3681,Prinzregentenstr.,105
4974,Waldgartenstr.,61a
316,Asternstr.,5
2256,Johanneskirchner Str.,162
318,Athener Pl.,6
318,Athener Pl.,8
319,Athener Str.,3
319,Athener Str.,7
319,Athener Str.,10
319,Athener Str.,14
298,Artur-Kutscher-Pl.,2
5277,Zehntfeldstr.,235
5277,Zehntfeldstr.,235a
5277,Zehntfeldstr.,238a
5277,Zehntfeldstr.,242a
5277,Zehntfeldstr.,244a
5277,Zehntfeldstr.,244c
5277,Zehntfeldstr.,251a
5277,Zehntfeldstr.,255
5277,Zehntfeldstr.,258
5277,Zehntfeldstr.,260
5277,Zehntfeldstr.,274
5277,Zehntfeldstr.,278
4321,Sebastian-Bauer-Str.,20
320,Athosstr.,3
320,Athosstr.,10
320,Athosstr.,13
320,Athosstr.,17
320,Athosstr.,20
320,Athosstr.,26
3405,Orthstr.,16
323,Aubinger Str.,156
321,Attenkoferstr.,7
321,Attenkoferstr.,10
2625,Küchelstr.,1b
321,Attenkoferstr.,24
321,Attenkoferstr.,28
321,Attenkoferstr.,31
321,Attenkoferstr.,33
321,Attenkoferstr.,36
321,Attenkoferstr.,41
323,Aubinger Str.,184a
323,Aubinger Str.,187
345,August-Exter-Str.,8
345,August-Exter-Str.,11
345,August-Exter-Str.,17
345,August-Exter-Str.,19
345,August-Exter-Str.,20
345,August-Exter-Str.,24
345,August-Exter-Str.,31
345,August-Exter-Str.,33
362,Ayinger Str.,13
362,Ayinger Str.,16
362,Ayinger Str.,19
5184,Wimpfener Str.,1
5184,Wimpfener Str.,3
379,Bad-Kissingen-Str.,11
5190,Windhuker Str.,2
5190,Windhuker Str.,5
5190,Windhuker Str.,8
5190,Windhuker Str.,10
5190,Windhuker Str.,13
5190,Windhuker Str.,15
5190,Windhuker Str.,24
5190,Windhuker Str.,30
5190,Windhuker Str.,52
379,Bad-Kissingen-Str.,16
379,Bad-Kissingen-Str.,21
379,Bad-Kissingen-Str.,24
379,Bad-Kissingen-Str.,27
379,Bad-Kissingen-Str.,31
379,Bad-Kissingen-Str.,33
379,Bad-Kissingen-Str.,36
379,Bad-Kissingen-Str.,37
398,Baierbrunner Str.,26
379,Bad-Kissingen-Str.,55
379,Bad-Kissingen-Str.,58
379,Bad-Kissingen-Str.,61
