STRASSE,STRANAM,HSZ
1101,Eschenbachstr.,1
1101,Eschenbachstr.,3
1247,Forggenseestr.,34
1247,Forggenseestr.,36
1247,Forggenseestr.,40
1155,Fasangartenstr.,99
1155,Fasangartenstr.,101
1155,Fasangartenstr.,102
1155,Fasangartenstr.,102a
1155,Fasangartenstr.,110
1287,Frasdorfer Str.,6d
1287,Frasdorfer Str.,7
1287,Frasdorfer Str.,8
1287,Frasdorfer Str.,9
1287,Frasdorfer Str.,10
1287,Frasdorfer Str.,11
1155,Fasangartenstr.,151
1155,Fasangartenstr.,154
1155,Fasangartenstr.,155
1155,Fasangartenstr.,157
1155,Fasangartenstr.,159
1155,Fasangartenstr.,161
1155,Fasangartenstr.,166
2332,Kapellenfeldstr.,9
2332,Kapellenfeldstr.,12
2332,Kapellenfeldstr.,14
2332,Kapellenfeldstr.,16
1235,Flossenbürger Str.,6
1235,Flossenbürger Str.,15
1242,Fockensteinstr.,2
1242,Fockensteinstr.,4
1242,Fockensteinstr.,6
1242,Fockensteinstr.,8
1242,Fockensteinstr.,10
1504,Gietlstr.,7
1504,Gietlstr.,8
1247,Forggenseestr.,56
1247,Forggenseestr.,58
1247,Forggenseestr.,60
1247,Forggenseestr.,62
1939,Hermelinweg,14
1939,Hermelinweg,15
1939,Hermelinweg,16
1939,Hermelinweg,17
1939,Hermelinweg,18
1287,Frasdorfer Str.,12
1287,Frasdorfer Str.,13
1287,Frasdorfer Str.,15
1287,Frasdorfer Str.,16
2088,Hohenschwangaustr.,24
2088,Hohenschwangaustr.,25
2088,Hohenschwangaustr.,28
2088,Hohenschwangaustr.,29
2088,Hohenschwangaustr.,31
2416,Kesselbergstr.,1b
2416,Kesselbergstr.,2
2416,Kesselbergstr.,4
2416,Kesselbergstr.,5
2416,Kesselbergstr.,7
2416,Kesselbergstr.,8
2608,Kronacher Str.,14
2608,Kronacher Str.,16
2608,Kronacher Str.,18
2608,Kronacher Str.,20
1504,Gietlstr.,12
1504,Gietlstr.,14
1504,Gietlstr.,16
1504,Gietlstr.,17
1504,Gietlstr.,18
1504,Gietlstr.,21
1504,Gietlstr.,23
2749,Leifstr.,21
2749,Leifstr.,22
2749,Leifstr.,24
1939,Hermelinweg,19
1939,Hermelinweg,21a
1939,Hermelinweg,23
1939,Hermelinweg,25
1961,Herzogstandstr.,1
3020,Martin-Luther-Str.,20
3020,Martin-Luther-Str.,22
3041,Maurerstr.,10
2088,Hohenschwangaustr.,32
2088,Hohenschwangaustr.,33
2088,Hohenschwangaustr.,35
3331,Oberaudorfer Str.,17
3338,Obere Grasstr.,5
3338,Obere Grasstr.,6
3338,Obere Grasstr.,7
3338,Obere Grasstr.,8
3338,Obere Grasstr.,10
2608,Kronacher Str.,22
2608,Kronacher Str.,24
2608,Kronacher Str.,26
2608,Kronacher Str.,30
2608,Kronacher Str.,32
2688,Landlstr.,3
2688,Landlstr.,4
3517,Perlacher Str.,9
3517,Perlacher Str.,29
3517,Perlacher Str.,31
3517,Perlacher Str.,35
2749,Leifstr.,25
2749,Leifstr.,26
2749,Leifstr.,28
2749,Leifstr.,30
2749,Leifstr.,31
2749,Leifstr.,33
2827,Lincolnstr.,1
2827,Lincolnstr.,3
882,Döbrastr.,8
882,Döbrastr.,9
882,Döbrastr.,11
3041,Maurerstr.,20
3132,Minnewitstr.,6
3132,Minnewitstr.,8
3132,Minnewitstr.,9
3132,Minnewitstr.,15
3132,Minnewitstr.,23
1849,Hefnerstr.,12
1101,Eschenbachstr.,10
1101,Eschenbachstr.,12
1101,Eschenbachstr.,14
1101,Eschenbachstr.,15
3353,Obernzeller Str.,2
3353,Obernzeller Str.,4
3353,Obernzeller Str.,6
3353,Obernzeller Str.,10
5053,Weinbauernstr.,6
5053,Weinbauernstr.,10
5053,Weinbauernstr.,13
5053,Weinbauernstr.,21
5067,Weißenseestr.,3
3517,Perlacher Str.,37
3517,Perlacher Str.,39
3517,Perlacher Str.,41
3517,Perlacher Str.,43
3517,Perlacher Str.,45
3517,Perlacher Str.,49
821,Daxenbergerstr.,8
1194,Feuerbachstr.,19
1210,Firstalmstr.,11
882,Döbrastr.,13
882,Döbrastr.,15
882,Döbrastr.,21
920,Dreisesselbergstr.,4
920,Dreisesselbergstr.,6
920,Dreisesselbergstr.,9
920,Dreisesselbergstr.,12
920,Dreisesselbergstr.,13
1242,Fockensteinstr.,20
1242,Fockensteinstr.,24
1101,Eschenbachstr.,17
1101,Eschenbachstr.,19
1101,Eschenbachstr.,23
1101,Eschenbachstr.,29
1106,Eslarner Str.,1
1101,Eschenbachstr.,5
1247,Forggenseestr.,64
1247,Forggenseestr.,66
1260,Frankenwaldstr.,2
1260,Frankenwaldstr.,4
5067,Weißenseestr.,7
5067,Weißenseestr.,7b
5067,Weißenseestr.,11
3955,Rottacher Str.,2
2970,Manzostr.,124
4662,Taschnerstr.,20
3955,Rottacher Str.,5
3955,Rottacher Str.,7
3955,Rottacher Str.,8
1776,Hans-Bartels-Str.,4
1785,Hans-Mielich-Pl.,1
1785,Hans-Mielich-Pl.,2
1785,Hans-Mielich-Pl.,3
1940,Hermine-Bland-Str.,4a
1940,Hermine-Bland-Str.,5
1940,Hermine-Bland-Str.,6
1940,Hermine-Bland-Str.,11
1940,Hermine-Bland-Str.,13
2375,Karolingerallee,10
2375,Karolingerallee,14
2375,Karolingerallee,18
1640,Grödner Str.,8
1640,Grödner Str.,16
1640,Grödner Str.,18
1667,Grünwalder Str.,5
1667,Grünwalder Str.,6
1667,Grünwalder Str.,12
3498,Peißenbergstr.,31
3509,Perathonerstr.,1
3509,Perathonerstr.,2
3509,Perathonerstr.,3
3509,Perathonerstr.,4
3509,Perathonerstr.,5
3509,Perathonerstr.,6
2712,Latemarstr.,9
2712,Latemarstr.,10
2712,Latemarstr.,11
2712,Latemarstr.,12
1859,Heideröschenweg,1
1861,Heigelstr.,1
1861,Heigelstr.,2
2218,Isenschmidstr.,18
2218,Isenschmidstr.,19
2237,Jakob-Gelb-Pl.,1
2237,Jakob-Gelb-Pl.,2
2237,Jakob-Gelb-Pl.,5
2237,Jakob-Gelb-Pl.,6
2237,Jakob-Gelb-Pl.,7
1667,Grünwalder Str.,14b
1667,Grünwalder Str.,14c
1786,Hans-Mielich-Str.,16
1786,Hans-Mielich-Str.,18
1786,Hans-Mielich-Str.,22
1786,Hans-Mielich-Str.,24
1786,Hans-Mielich-Str.,28
2391,Kastenseestr.,22
2391,Kastenseestr.,23
2391,Kastenseestr.,26
2391,Kastenseestr.,27
2391,Kastenseestr.,28
2391,Kastenseestr.,30
2391,Kastenseestr.,32
2391,Kastenseestr.,35
2391,Kastenseestr.,36
2391,Kastenseestr.,38
1667,Grünwalder Str.,59
2712,Latemarstr.,13
2712,Latemarstr.,14
2712,Latemarstr.,18
2717,Laurinpl.,1
2717,Laurinpl.,3
2717,Laurinpl.,4
2712,Latemarstr.,8
3243,Naupliastr.,11
3243,Naupliastr.,12
3243,Naupliastr.,14
3243,Naupliastr.,15
2240,Jamnitzerstr.,2
2545,Konradinstr.,8
2545,Konradinstr.,9
2545,Konradinstr.,11
2545,Konradinstr.,12
2545,Konradinstr.,13
2545,Konradinstr.,21
1786,Hans-Mielich-Str.,29
1786,Hans-Mielich-Str.,32
1954,Herzog-Garibald-Str.,15
1954,Herzog-Garibald-Str.,16
1954,Herzog-Garibald-Str.,17
1954,Herzog-Garibald-Str.,21
1954,Herzog-Garibald-Str.,24
2015,Hochederstr.,1
2015,Hochederstr.,4
2015,Hochederstr.,6
1667,Grünwalder Str.,61
1667,Grünwalder Str.,69
1667,Grünwalder Str.,69a
1667,Grünwalder Str.,73
1667,Grünwalder Str.,77
1667,Grünwalder Str.,85
1667,Grünwalder Str.,87
1667,Grünwalder Str.,102
1802,Harthauser Str.,16
3243,Naupliastr.,16
3243,Naupliastr.,17
3243,Naupliastr.,18
3243,Naupliastr.,20
3243,Naupliastr.,21
3243,Naupliastr.,23
2959,Mangfallpl.,1
3243,Naupliastr.,9
3243,Naupliastr.,97
3243,Naupliastr.,100
3243,Naupliastr.,101
2545,Konradinstr.,23
2545,Konradinstr.,25
1667,Grünwalder Str.,225d
1667,Grünwalder Str.,227
1667,Grünwalder Str.,227a
1667,Grünwalder Str.,229
1667,Grünwalder Str.,230
1667,Grünwalder Str.,233
1667,Grünwalder Str.,236
2015,Hochederstr.,8
2015,Hochederstr.,10
2375,Karolingerallee,28
2375,Karolingerallee,35
2387,Kastanienstr.,4
